"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","dropout","epochs","head_lr","learning_rate","max_length","patience","weight_decay","Epoch","Learning Rate","Train Accuracy","Train Loss","Validation Accuracy","Validation F1","Validation Loss","Validation Precision","Validation Recall"
"trial-1","finished","-","","","2025-08-21T14:36:40.000Z","2208","","32","0.10867229138873909","2","0.0000717948030080763","0.000017948700752019076","192","2","0.01","2","0","0.6942367601246106","0.7615531277879376","0.6682033391477697","0.6639766049022308","0.8093510203057919","0.6742234140586504","0.6682033391477697"
"trial-0","finished","-","","","2025-08-21T13:45:24.000Z","3072","","16","0.22550686059665176","4","0.00004252425035061329","0.000010631062587653322","128","2","0.02","4","0","0.6871651090342679","0.7785011254589878","0.5765013705457264","0.5589984943481483","1.0246588391999845","0.6093544599918268","0.5765013705457264"
