"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","epochs","learning_rate","max_length","patience","trial_number","weight_decay","Epoch","Learning Rate","Train Accuracy","Train Loss","Validation Accuracy","Validation F1","Validation Loss","Validation Precision","Validation Recall"
"google/electra-base-discriminator-trial-0","finished","-","","","2025-08-20T21:49:13.000Z","22","","32","3","0.000011998234507407878","96","4","0","0","","","","","","","","",""
"google/electra-base-discriminator-trial-7","crashed","-","","","2025-08-19T00:49:03.000Z","825","","16","2","0.000010561358517661255","128","1","7","0.01","1","0.000005280679258830628","0.5460747663551402","1.0955460224827502","0.6411662098180912","0.6370275599032839","0.9147965462612389","0.6440753042156112","0.6411662098180912"
"google/electra-base-discriminator-trial-6","finished","-","","","2025-08-19T00:12:28.000Z","2193","","16","3","0.000024761825095656273","128","1","6","0","3","0","0.7861993769470405","0.6193048005386305","0.71679541490157","0.7161411250282864","0.7898038551155658","0.7190320701946393","0.71679541490157"
"google/electra-base-discriminator-trial-5","finished","-","","","2025-08-18T23:20:20.000Z","3127","","32","3","0.000012027382085165302","192","1","5","0","3","0","0.7365420560747663","0.7312437703082123","0.696112633939696","0.6950843564177874","0.8282671401306426","0.6983004255680525","0.696112633939696"
"google/electra-base-discriminator-trial-4","finished","-","","","2025-08-18T22:43:17.000Z","2221","","16","2","0.000017321083618485456","192","2","4","0","2","0","0.72797507788162","0.7456353806855152","0.7005980563169698","0.6990685469973189","0.8166487915777905","0.7024647147439715","0.7005980563169698"
"google/electra-base-discriminator-trial-3","finished","-","","","2025-08-18T22:06:15.000Z","2221","","16","3","0.000014709322512814472","128","1","3","0.02","3","0","0.7435202492211838","0.7120302768845425","0.6973585846000498","0.6951501610713903","0.8355989234126062","0.7000903681159636","0.6973585846000498"
"google/electra-base-discriminator-trial-2","finished","-","","","2025-08-18T21:17:10.000Z","2943","","16","4","0.00003197691464920197","128","2","2","0.01","4","0","0.8341121495327103","0.5007264414123286","0.7256416645900823","0.7250773285666455","0.8161757958966124","0.7282153250118261","0.7256416645900823"
"google/electra-base-discriminator-trial-1","finished","-","","","2025-08-18T20:21:51.000Z","3317","","16","3","0.00002813975866799371","192","1","1","0","3","0","0.7755140186915888","0.6395150995848706","0.7153002741091453","0.7140180221145083","0.8066632488615757","0.7177081076055295","0.7153002741091453"
"google/electra-base-discriminator-trial-0","finished","-","","","2025-08-18T19:44:36.000Z","2234","","16","2","0.00001851815131792824","192","2","0","0.02","2","0","0.7377258566978193","0.7291670167186178","0.7121853974582607","0.7113822413018129","0.8007329911506","0.7139873466453273","0.7121853974582607"
"google/electra-base-discriminator-trial-3","finished","-","","","2025-08-18T19:06:56.000Z","2259","","16","4","0.00010866345212197376","128","1","3","0.01","2","0.00005433172606098688","0.27710280373831775","1.5739929660904073","0.17667580363817592","0.05305512273590289","1.6167280593180997","0.031214339591195295","0.17667580363817592"
"google/electra-base-discriminator-trial-2","finished","-","","","2025-08-18T18:25:03.000Z","2512","","32","4","0.00012910910633457743","160","1","2","0.01","3","0.00003227727658364436","0.2799065420560748","1.57273236317798","0.2800897084475455","0.12256991718709018","1.588978935589138","0.07845024477823104","0.2800897084475455"
"google/electra-base-discriminator-trial-1","finished","-","","","2025-08-18T17:48:19.000Z","2202","","16","3","0.00010759247123050883","128","1","1","0.05","3","0","0.2796261682242991","1.5717694168447334","0.2800897084475455","0.12256991718709018","1.586925861219382","0.07845024477823104","0.2800897084475455"
"google/electra-base-discriminator-trial-0","finished","-","","","2025-08-18T17:04:18.000Z","2639","","16","3","0.00027648527600562345","160","1","0","0.05","3","0","0.28034267912772587","1.5747991741037817","0.2800897084475455","0.12256991718709018","1.5745719295768348","0.07845024477823104","0.2800897084475455"
