"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","epochs","learning_rate","max_length","patience","trial_number","weight_decay","Epoch","Learning Rate","Train Accuracy","Train Loss","Validation Accuracy","Validation F1","Validation Loss","Validation Precision","Validation Recall"
"google/electra-base-discriminator-trial-9","finished","-","","","2025-08-21T02:56:55.000Z","2285","","16","3","0.000011006182512751388","128","3","9","0.01","3","0","0.7519626168224299","0.6959259572133097","0.706454024420633","0.7059668855280467","0.8152163322507191","0.7087963771280488","0.706454024420633"
"google/electra-base-discriminator-trial-8","finished","-","","","2025-08-21T02:28:46.000Z","1687","","32","3","0.000014637187008091864","96","2","8","0","3","0","0.7461993769470405","0.7128818640233572","0.706454024420633","0.7062904394099163","0.8204379030186548","0.7085010084694423","0.706454024420633"
"google/electra-base-discriminator-trial-7","finished","-","","","2025-08-21T01:54:04.000Z","2080","","32","3","0.000033553201680722675","128","4","7","0","3","0","0.7889096573208723","0.6113296684093564","0.7166708198355345","0.7163083059132616","0.7983077033303368","0.7193151835402436","0.7166708198355345"
"google/electra-base-discriminator-trial-6","finished","-","","","2025-08-21T01:24:22.000Z","1780","","16","3","0.00003221051935067695","96","2","6","0.01","3","0","0.7670404984423675","0.6654337671222716","0.7194119112883129","0.7195295741242029","0.7837849394686347","0.7213983885630535","0.7194119112883129"
"google/electra-base-discriminator-trial-5","finished","-","","","2025-08-21T01:01:10.000Z","1390","","32","2","0.0000381830152934532","128","4","5","0.02","2","0","0.27975077881619936","1.5731122287560104","0.2800897084475455","0.12256991718709018","1.5906668283266228","0.07845024477823104","0.2800897084475455"
"google/electra-base-discriminator-trial-4","finished","-","","","2025-08-21T00:10:58.000Z","3010","","16","4","0.0000351288639274853","128","3","4","0","4","0","0.8408722741433022","0.4851137674708975","0.7186643408921006","0.7182333393483021","0.83156274641181","0.7202561854546453","0.7186643408921006"
"google/electra-base-discriminator-trial-3","finished","-","","","2025-08-20T23:42:39.000Z","1698","","32","3","0.000036170398876360226","96","4","3","0.01","3","0","0.7895950155763239","0.6065829792498056","0.723648143533516","0.7233745568953507","0.7867619768212093","0.7263289052343225","0.723648143533516"
"google/electra-base-discriminator-trial-2","finished","-","","","2025-08-20T22:56:16.000Z","2782","","32","4","0.00002082655124567963","128","2","2","0.01","4","0","0.8024922118380062","0.5804237836283687","0.7205332668826314","0.719525457352279","0.8074642634810636","0.7222514704384848","0.7205332668826314"
"google/electra-base-discriminator-trial-1","finished","-","","","2025-08-20T22:27:01.000Z","1753","","16","3","0.00002172156119269753","96","3","1","0","3","0","0.7753894080996885","0.6416009418225362","0.7104410665337653","0.7093471897881605","0.8150994482255475","0.7130070079766148","0.7104410665337653"
"google/electra-base-discriminator-trial-0","finished","-","","","2025-08-20T21:49:36.000Z","2243","","32","4","0.000024407722748812687","96","2","0","0.02","4","0","0.8078193146417445","0.5663797314367561","0.7227759780712684","0.7230388817943788","0.7999266822558521","0.7249304773788596","0.7227759780712684"
